wind_speed,wind_dir,grade,speed_limit
28.99667,45.04685,0.00117,130
5.50306,140.86601,0.00213,130
16.08569,49.893,0.0008,130
18.90206,69.85845,0.00924,130
14.04722,288.3299,0.00216,130
13.75474,244.30141,-0.00133,130
16.71997,126.49907,0.01248,130
17.87924,262.38308,0.00767,130
10.0055,69.07511,-0.00752,130
19.01868,92.74769,-0.00397,130
10.99503,25.55212,-0.00062,130
17.01579,223.42523,-0.00016,130
19.2686,193.42897,0.01046,130
11.45042,196.82571,0.00959,130
12.85732,314.6068,8e-05,130
22.61935,145.11654,0.00787,130
26.86471,45.20922,0.01475,130
18.00237,188.18823,0.0064,130
1.84375,188.70358,0.00158,130
9.14961,157.23358,-0.00093,130
7.60598,329.25343,-0.00378,130
1.27605,232.91694,0.00544,130
8.92292,200.6854,0.01313,130
15.5213,33.70821,0.007,130
12.51969,214.58285,0.00521,130
17.80439,283.76953,0.0113,130
9.0215,165.45883,0.01314,130
6.48035,211.48643,0.01169,130
15.19002,77.85714,0.00629,130
13.19002,143.4372,-0.002,130
19.62202,70.51609,-0.00103,130
14.63824,51.62215,0.00758,130
19.90486,175.54215,0.01124,130
0.4803,302.82465,0.00924,130
16.75099,85.65125,0.00735,130
12.55813,43.60033,0.01009,130
12.25246,123.05871,0.01556,130
12.20167,189.36692,0.01441,130
11.60016,192.65339,0.00673,130
14.45323,132.23527,0.00069,130
21.66574,219.76641,-0.00046,130
12.08683,107.57878,0.00568,130
9.88239,65.2705,0.01264,130
10.49272,135.40306,0.00902,130
14.0546,17.26316,0.00544,130
13.52616,287.88984,0.01197,130
24.84247,177.42183,0.01528,130
9.80139,6.32654,0.01311,130
5.4655,195.13968,0.01062,130
18.03629,160.47941,0.00086,130
9.84184,255.12794,-0.0038,130
9.39399,200.5156,0.00772,130
19.34772,151.16581,0.01133,130
10.28796,214.33713,0.00429,130
18.84464,212.05868,0.00781,130
16.70113,177.0419,0.01111,130
13.8361,281.65634,0.00969,130
8.74232,41.72103,0.01665,130
5.60887,203.08265,0.01231,130
6.51526,264.17947,-0.00486,130
10.31754,112.00108,-0.00147,130
10.7315,134.78434,0.0084,130
8.98868,188.34161,0.00301,130
16.16698,83.59993,0.0054,130
10.08828,284.84527,0.00973,130
2.42945,275.33755,0.00195,130
5.81626,132.17926,0.0099,130
9.61466,231.23811,0.02105,130
12.77134,228.63686,0.00469,130
10.02226,117.08988,-0.00476,130
24.83708,226.58627,0.00376,130
19.49544,211.79468,-0.00102,130
20.63074,162.2853,-0.00019,130
12.07591,320.97413,0.01123,130
15.65134,168.10207,0.00067,130
10.37002,163.36258,-0.00338,130
16.62481,277.83954,0.0167,130
13.33867,268.154,0.01403,130
5.48693,197.07436,-0.00058,130
18.67744,168.71187,0.00427,130
7.18135,132.0605,-0.00199,130
1.26376,71.05327,-0.00981,130
2.86962,315.95443,0.00749,130
7.64049,177.03658,0.00661,130
15.89585,207.4693,-0.01016,130
14.11645,174.79951,0.00367,130
16.75399,134.42225,0.01406,130
11.21354,219.66477,0.00263,130
12.59527,213.60446,0.00779,130
11.05766,33.76865,0.00584,130
14.68929,200.98058,-0.0143,130
14.77272,332.61516,-0.004,130
11.38294,264.79675,0.01003,130
9.14089,259.15943,-0.00708,130
23.53323,77.02552,-0.00637,130
6.9148,69.50429,0.00808,130
14.61679,138.23221,-7e-05,130
18.12933,204.76339,0.00513,130
7.1811,182.72118,0.01646,130
9.32437,258.31962,-0.00571,130
16.37583,212.54841,-0.01357,130
2.22148,262.15699,0.00548,130
