No solution
10.000
aero-res,array-power,bearing-res,cda,energy,energy-gained,gravitation-res,irradiance,motor-power,power-out,resistive-force,speed,time,tire-res
-0.85608,0.00000,0.83333,-0.10353,19915734.57680,-84265.42320,56.93170,0.00000,224.07062,234.07062,64.26447,10.00000,0.10000,7.35552
0.77463,0.00000,0.83333,0.04636,19777252.77560,-138481.80120,88.33075,0.00000,374.67167,384.67167,97.29144,10.00000,0.20000,7.35273
-3.67439,0.00186,0.83333,-0.72556,19310219.84000,-467032.93560,233.68519,0.00372,1287.31557,1297.31557,238.16815,10.00000,0.30000,7.32402
-10.82058,0.15290,0.83333,-1.07034,18788247.65360,-521972.18640,259.38489,0.30580,1440.07564,1450.07564,256.71387,10.00000,0.40000,7.31623
-0.13075,1.38454,0.83333,-0.02785,17360017.73120,-1428229.92240,478.31470,2.76907,3958.68988,3968.68988,486.23349,10.00000,0.50000,7.21621
-1.39334,5.18692,0.83333,-0.56651,17037982.35920,-322035.37200,177.97342,10.37383,889.72962,899.72962,184.75151,10.00000,0.60000,7.33810
-8.75120,12.49883,0.83333,-0.36551,16544266.34960,-493716.00960,249.39498,24.99765,1373.93219,1383.93219,248.79647,10.00000,0.70000,7.31936
0.01158,23.40540,0.83333,0.04727,16278117.10760,-266149.24200,155.88388,46.81079,752.70885,762.70885,164.07141,10.00000,0.80000,7.34262
-0.50763,37.43821,0.83333,-1.13766,16234413.12920,-43703.97840,37.71499,74.87641,148.83815,158.83815,45.39732,10.00000,0.90000,7.35663
-20.89056,53.91131,0.83333,-0.94385,16251267.38600,16854.25680,11.64924,107.82262,-2.90607,7.09393,-1.05057,10.00000,1.00000,7.35742
-26.85140,72.12714,0.83333,-1.05094,16077524.94920,-173742.43680,148.17862,144.25428,544.74502,554.74502,129.50461,10.00000,1.10000,7.34406
0.20156,91.47066,0.83333,0.05647,15936485.66120,-141039.28800,108.09914,182.94131,473.24646,483.24646,116.48438,10.00000,1.20000,7.35035
-0.40822,111.43863,0.83333,-0.51280,14692565.97560,-1243919.68560,448.05376,222.87726,3556.77109,3566.77109,455.71254,10.00000,1.30000,7.23367
-3.78821,131.63774,0.83333,-0.18451,14483315.95400,-209250.02160,151.78797,263.27547,702.88780,712.88780,156.17648,10.00000,1.40000,7.34339
-4.44287,151.77028,0.83333,-0.24963,14325958.17560,-157357.77840,131.75396,303.54056,578.87522,588.87522,135.49130,10.00000,1.50000,7.34688
-18.00821,171.61689,0.83333,-1.87663,13845740.79080,-480217.38480,273.09360,343.23377,1495.55407,1505.55407,263.23046,10.00000,1.60000,7.31174
-3.01717,191.02005,0.83333,-0.33422,13597640.66720,-248100.12360,176.73245,382.04010,870.18706,880.18706,181.88698,10.00000,1.70000,7.33837
0.11258,209.87014,0.83333,0.00273,12977714.18000,-619926.48720,301.82259,419.74028,1921.88816,1931.88816,310.07007,10.00000,1.80000,7.30157
0.92218,228.09395,0.83333,0.03181,12540311.93360,-437402.24640,246.81099,456.18789,1433.10019,1443.10019,255.88665,10.00000,1.90000,7.32015
-6.69432,245.64569,0.83333,-0.86337,12499276.42640,-41035.50720,90.65598,491.29137,349.63321,359.63321,92.14746,10.00000,2.00000,7.35247
-6.20343,262.50000,0.83333,-0.92174,12527394.40280,28117.97640,50.04510,525.00000,174.39451,184.39451,52.03097,10.00000,2.10000,7.35597
-0.41018,278.64661,0.83333,-1.09535,11829526.51520,-697867.88760,331.07017,557.29321,2207.16852,2217.16852,338.78347,10.00000,2.20000,7.29015
-11.93393,294.08618,0.83333,-0.56833,11767666.95920,-61859.55600,116.97360,588.17235,455.91828,465.91828,113.22213,10.00000,2.30000,7.34913
-1.25654,308.82727,0.83333,-0.28668,11762202.96200,-5463.99720,77.68073,617.65454,314.00504,324.00504,84.61133,10.00000,2.40000,7.35381
-25.07224,322.88397,0.83333,-1.31154,11075729.35160,-686473.61040,356.96931,645.76793,2219.75511,2229.75511,340.00955,10.00000,2.50000,7.27915
-2.35045,336.27413,0.83333,-0.29487,10483446.49040,-592282.86120,309.41662,672.54826,1971.50430,1981.50430,315.19821,10.00000,2.60000,7.29871
-3.84606,349.01806,0.83333,-0.24412,10206553.64960,-276892.84080,210.81846,698.03612,1108.16484,1118.16484,215.13600,10.00000,2.70000,7.33027
-12.07317,361.13754,0.83333,-0.98128,9519272.37200,-687281.27760,347.88947,722.27507,2260.25220,2270.25220,343.93273,10.00000,2.80000,7.28310
-0.00882,372.65507,0.83333,-0.00354,9617726.23400,98453.86200,20.62480,745.31013,89.17212,99.17212,28.80655,10.00000,2.90000,7.35724
-2.70332,383.59336,0.83333,-0.27047,9611091.67520,-6634.55880,95.30568,767.18672,392.02269,402.02269,100.78763,10.00000,3.00000,7.35194
0.22460,393.97494,0.83333,0.04906,9715510.03880,104418.36360,21.77734,787.94988,93.92393,103.92393,30.19248,10.00000,3.10000,7.35721
-10.29873,403.82185,0.83333,-1.01960,9811648.94960,96138.91080,41.56390,807.64369,126.76932,136.76932,39.45494,10.00000,3.20000,7.35644
-29.24951,413.15545,0.83333,-1.26391,9915362.68520,103713.73560,57.27478,826.31090,115.06174,125.06174,36.21409,10.00000,3.30000,7.35549
-0.06161,421.99632,0.83333,-0.02276,9101931.96080,-813430.72440,374.01849,843.99264,2671.52611,2681.52611,382.06165,10.00000,3.40000,7.27144
-0.00581,430.36414,0.83333,-0.08794,8618330.78120,-483601.17960,285.16667,860.72827,1763.70075,1773.70075,293.30178,10.00000,3.50000,7.30759
-4.00636,438.27762,0.83333,-1.28760,8666973.70040,48642.91920,75.89304,876.55524,293.15840,303.15840,80.07399,10.00000,3.60000,7.35398
-5.70587,445.75453,0.83333,-0.34686,8651999.10800,-14974.59240,114.77373,891.50905,477.35062,487.35062,117.25063,10.00000,3.70000,7.34944
-1.90931,452.81163,0.83333,-0.09778,8377100.86880,-274898.23920,221.70198,905.62326,1206.41785,1216.41785,227.95338,10.00000,3.80000,7.32738
1.55292,459.46474,0.83333,0.05767,8091722.03600,-285378.83280,222.79203,918.92947,1242.18372,1252.18372,232.50536,10.00000,3.90000,7.32708
-11.80028,465.72868,0.83333,-1.73606,8149539.02960,57816.99360,84.12027,931.45736,295.12592,305.12592,80.50649,10.00000,4.00000,7.35317
-1.02005,471.61738,0.83333,-0.57202,7701531.50360,-448007.52600,279.90226,943.23476,1706.08273,1716.08273,287.02497,10.00000,4.10000,7.30943
-0.39292,477.14384,0.83333,-2.05251,7577505.94160,-124025.56200,165.36277,954.28768,811.65929,821.65929,173.14394,10.00000,4.20000,7.34076
-2.29514,482.32019,0.83333,-0.46321,7572305.72000,-5200.22160,113.11143,964.64037,486.76525,496.76525,118.99929,10.00000,4.30000,7.34967
-10.96568,487.15771,0.83333,-0.60626,7515219.23840,-57086.48160,147.95910,974.31541,635.73127,645.73127,145.17085,10.00000,4.40000,7.34410
-18.19025,491.66687,0.83333,-1.04614,7536983.43440,21764.19600,116.55809,983.33374,421.21077,431.21077,106.55036,10.00000,4.50000,7.34919
-14.04044,495.85738,0.83333,-0.91076,7688822.02040,151838.58600,27.12299,991.71476,64.08353,74.08353,21.27293,10.00000,4.60000,7.35705
-17.57684,499.73818,0.83333,-1.25764,6442582.05200,-1246239.96840,495.23964,999.47635,3951.51587,3961.51587,485.70206,10.00000,4.70000,7.20593
-4.61787,503.31749,0.83333,-0.25370,6405673.80800,-36908.24400,134.85484,1006.63497,595.84039,605.84039,138.41667,10.00000,4.80000,7.34637
0.24112,506.60285,0.83333,0.04341,6571999.45280,166325.64480,3.45802,1013.20570,34.58717,44.58717,11.88996,10.00000,4.90000,7.35749
